,alpha,performance,capacity,method
561,0.3,4.537946822904878,6.0,rewire
562,0.5,4.830094740963477,5.0,rewire
563,0.7,5.350364015980138,5.0,rewire
564,0.8,5.733103160635526,5.0,rewire
565,0.9,6.037789582802398,5.0,rewire
566,0.95,6.297733438859647,5.0,rewire
567,1.0,4.543424165915379,5.0,rewire
568,1.05,2.06318853330332,15.0,rewire
569,1.1,1.4312865737466711,3.0,rewire
570,1.2,1.1559432465076065,8.0,rewire
571,1.3,1.027353472449632,0.0,rewire
572,1.4,0.990729267721691,0.0,rewire
573,1.5,0.8550402165986405,0.0,rewire
574,2.0,0.5246136449911032,0.0,rewire
575,2.5,0.5082147948233021,0.0,rewire
576,3.0,0.4484269497601367,0.0,rewire
577,3.5,0.3862818191863733,0.0,rewire
578,0.3,4.562120231132738,6.0,rewire
579,0.5,4.84153461919989,5.0,rewire
580,0.7,5.337900540758295,5.0,rewire
581,0.8,5.789250856744432,5.0,rewire
582,0.9,5.985758134385679,5.0,rewire
583,0.95,5.779680983421569,5.0,rewire
584,1.0,4.644879812871084,5.0,rewire
585,1.05,2.106231653102112,12.0,rewire
586,1.1,1.4452391635915949,3.0,rewire
587,1.2,1.14828611912789,8.0,rewire
588,1.3,1.0496757326450608,0.0,rewire
589,1.4,0.9891003115779142,0.0,rewire
590,1.5,0.8297764726794467,0.0,rewire
591,2.0,0.5345086024310534,0.0,rewire
592,2.5,0.458319109768691,0.0,rewire
593,3.0,0.4209922582463226,0.0,rewire
594,3.5,0.3708881162890736,0.0,rewire
595,0.3,4.5261561781009325,6.0,rewire
596,0.5,4.839176662680218,5.0,rewire
597,0.7,5.348146723552878,5.0,rewire
598,0.8,5.769177378207077,5.0,rewire
599,0.9,6.556715937595447,6.0,rewire
600,0.95,6.0500907371265695,5.0,rewire
601,1.0,4.446709177362919,5.0,rewire
602,1.05,2.109753637227287,14.0,rewire
603,1.1,1.3221295739166945,3.0,rewire
604,1.2,1.187312852602921,8.0,rewire
605,1.3,1.034317287165322,0.0,rewire
606,1.4,0.9874812505980788,0.0,rewire
607,1.5,0.8462608742174061,0.0,rewire
608,2.0,0.5318977933030016,0.0,rewire
609,2.5,0.4348358157886799,0.0,rewire
610,3.0,0.4471219740581217,0.0,rewire
611,3.5,0.4105508483082918,0.0,rewire
612,0.3,4.524476025440702,6.0,rewire
613,0.5,4.843964323615628,5.0,rewire
614,0.7,5.361590076250916,5.0,rewire
615,0.8,5.709973293327944,5.0,rewire
616,0.9,6.145480599503804,5.0,rewire
617,0.95,6.088815876448255,5.0,rewire
